doctors_name,doctors_location,doctors_profession,doctors_rating,doctors_number,doctors_cost,specialty
Dr. Mukesh Paryani,"Wanowrie,",Ophthalmologist,100%,918037311983.0,₹600,Ophthalmologist
Dr. Arushi Goyal Deshmukh,"Pimple Saudagar,",Ophthalmologist,100%,918037316735.0,₹800,Ophthalmologist
Dr. Prafulla Kumar Aras,"Pimple Saudagar,",Ophthalmologist,100%,918037315549.0,₹600,Ophthalmologist
Dr. Arundhati Kale Sidhaye,"Kothrud,",Ophthalmologist,94%,917971261554.0,₹750,Ophthalmologist
Dr. Bhushan Wadekar,"Pimple Saudagar,",Ophthalmologist,100%,918037320871.0,₹800,Ophthalmologist
Dr. Abhijit Ranaware,"Hadapsar,",Orthopedist,57%,912048556097.0,₹700,Orthopedic
Dr. Pravin Waghmare,"Pimple Saudagar,",Orthopedist,96%,912048553738.0,₹1200,Orthopedic
Dr. Aniket Patil,"Hadapsar,",Orthopedist,97%,912048556097.0,₹700,Orthopedic
Dr. Shrirang Kulkarni,"Bhosari,",Orthopedist,91%,917949108205.0,₹500,Orthopedic
Dr. Sana Ahmed Sayyad,"Wanowrie,",Orthopedist,33%,912048556145.0,₹800,Orthopedic
Dr. Ashutosh Sabnis,"Dhankawadi,",Spine Surgeon,100%,912048556246.0,₹1300,Orthopedic
Dr. Amrut Oswal,"Dhankawadi,",Orthopedist,50%,912048556246.0,₹1200,Orthopedic
Dr. Sani Dole,"Wakad,",Orthopedist,100%,912048556819.0,₹500,Orthopedic
Dr. Chavan Sanjay Vishnu,"Pimple Nilakh,",Orthopedist,50%,912048552982.0,₹800,Orthopedic
Dr. Sujit Kadrekar,"Dhankawadi,",Orthopedist,unavailable,912048556246.0,₹1300,Orthopedic
Dr. Vijaykumar Bhalerao,"Viman Nagar,",Orthopedist,89%,917949108193.0,₹1000,Orthopedic
Dr. Ashwinkumar A Madavi,"Baner,",Orthopedist,100%,918037318746.0,₹600,Orthopedic
Dr. Deepak Koli,"Wakad,",Orthopedist,unavailable,912048556819.0,₹500,Orthopedic
Dr. Pravin,"Bhosari,",Orthopedist,unavailable,917949108205.0,₹1000,Orthopedic
Dr. Pallav bhatia,"Nigdi-Pradhikaran,",Spine And Pain Specialist,99%,917971115407.0,₹1000,Orthopedic
Dr. B A Kadam,"Pimpri-Chinchwad,",Orthopedist,94%,917971261702.0,₹1000,Orthopedic
Dr. Nakul Shah,"Kothrud,",Orthopedist,97%,917969201309.0,₹700,Orthopedic
Dr. Harshad Patankar,"Shukrawar Peth,",Orthopedist,97%,917971171370.0,₹700,Orthopedic
Dr. Manish Gandhalikar,"Baner,",Orthopedist,98%,917971171973.0,₹700,Orthopedic
Dr. Abhijit Agashe,"Deccan Gymkhana,",Orthopedist,97%,912048552611.0,₹605,Orthopedic
Dr. Santosh Teli,"Wakad,",Orthopedist,96%,917969141518.0,₹700,Orthopedic
Dr. Anshu S.R Sachdev,"Viman Nagar,",Orthopedist,95%,912241642437.0,₹1050,Orthopedic
Dr. Abhijeet L. Wahegaonkar,"Deccan Gymkhana,",Orthopedist,92%,912241642437.0,₹2200,Orthopedic
Dr. Sachin Karkamkar,"Hadapsar,",Orthopedist,94%,917969142027.0,₹605,Orthopedic
Dr. Mayank Pathak,"Kharadi,",Orthopedist,88%,917969201777.0,₹700,Orthopedic
Dr. Sachin Sonawane,"Wakad,",Orthopedist,94%,912071173178.0,₹800,Orthopedic
Dr. Nikhil Phade,"Pimple Nilakh,",Orthopedist,92%,918037321187.0,₹500,Orthopedic
Dr. Abhijit A Patil,"Undri,",Orthopedist,93%,912071189378.0,₹500,Orthopedic
Dr. Makarand Borikar,"Warje,",Orthopedist,74%,917971262117.0,₹500,Orthopedic
Dr. Amol Tapadia,"Hadapsar,",Orthopedist,89%,917969141901.0,₹500,Orthopedic
Dr. Swaroop Solunke,"Wakad,",Orthopedist,99%,917971115237.0,₹1000,Orthopedic
Dr. Abhay Kulkarni,"Aundh,",Orthopedist,97%,917969200944.0,₹800,Orthopedic
Dr. Amod Harip,"Baner,",Orthopedist,100%,912048552973.0,₹1500,Orthopedic
Dr. Shrikant Dalal,"Baner,",Spine Surgeon,78%,917971262182.0,₹1000,Orthopedic
Dr. Snehal Dantkale Dalal,"Baner,",Orthopedist,83%,912071187803.0,₹1000,Orthopedic
Dr. Aniruddha Kshirsagar,"Sadashiv Peth,",Orthopedist,100%,912071177423.0,₹600,Orthopedic
Dr. Amit M Laturkar,"Aundh,",Orthopedist,100%,917971262014.0,₹1000,Orthopedic
Dr. Kailas Mohanrao Jorule,"Pimpri-Chinchwad,",Orthopedist,unavailable,912071533717.0,₹1100,Orthopedic
Dr. Vishal Murkute,"Kharadi,",Orthopedist,97%,912248966432.0,₹800,Orthopedic
Dr. Ashish Suryawanshi,"Nigdi-Pradhikaran,",Orthopedist,67%,912071179090.0,₹1000,Orthopedic
Dr. Azhar Lakhani,"Kharadi,",Orthopedist,99%,917969141794.0,₹800,Orthopedic
Dr. Sinukumar Bhaskaran,"Kharadi,",Orthopedist,100%,917969141854.0,₹700,Orthopedic
Dr. Rajesh N Parasnis,"Shankar Shet Road,",Orthopedist,82%,917969141854.0,₹1200,Orthopedic
Dr. Murkute Vishal,"Nagar Road,",Orthopedist,unavailable,912071179000.0,₹800,Orthopedic
Dr. Nilesh Kalwar Rameshwar,"Viman Nagar,",Orthopedist,90%,917971115118.0,₹825,Orthopedic
Dr. Satish Kale,"Swargate,",Orthopedist,50%,912071533870.0,₹1000,Orthopedic
Dr. Abhijit Lonari,"Pimpri-Chinchwad,",Orthopedist,100%,918037321393.0,₹1100,Orthopedic
Dr. Rohit Chakor,"Wanowrie,",Orthopedist,97%,917969201750.0,₹900,Orthopedic
Dr. Shashank Behere,"Aundh,",Orthopedist,98%,917969201750.0,₹600,Orthopedic
Dr. Nikhil Likhate,"Deccan Gymkhana,",Orthopedist,94%,912071185854.0,₹1210,Orthopedic
Dr. Ankur Kumar,"Balewadi,",Orthopedist,unavailable,unavailable,₹600,Orthopedic
Dr. Pratibh Anil Srivastava,"Aundh,",Orthopedist,100%,917971261877.0,₹650,Orthopedic
Dr. Kedar Jagtap,"Kharadi,",Orthopedist,100%,917971115184.0,₹500,Orthopedic
Dr. Aashish Arbat,"Pimple Saudagar,",Orthopedist,50%,912071185853.0,₹1500,Orthopedic
Dr. Abhishek Nair,"Wakad,",Orthopedist,100%,912071177325.0,₹900,Orthopedic
Dr. Abhinav Kumar Singh,"Viman Nagar,",unavailable,unavailable,912048553249.0,₹800,Orthopedic
Dr. Pankaj Sharma,"Nigdi-Pradhikaran,",Orthopedist,unavailable,912048553255.0,₹900,Orthopedic
Dr. Nishit Jayant Shah,"Aundh,",Orthopedist,unavailable,912071533717.0,₹1000,Orthopedic
Dr. Sachin Tapasvi,"Deccan Gymkhana,",Orthopedist,83%,912048564427.0,₹1815,Orthopedic
Dr. Seema Joshi,"Aundh,",Pediatrician,92%,918046809162.0,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Pediatrician
Dr. B R Kilawat,"Wakad,",Pediatrician,unavailable,917941058734.0,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Pediatrician
Dr. Dattatray Vasantrao Kulkarni,"Bhosari,",Pediatrician,100%,917949108205.0,₹600,Pediatrician
Dr. Janitha Gilbert,"Wanowrie,",Pediatrician,unavailable,912048556145.0,₹700,Pediatrician
Dr. Mujanar Jalil Shaukatali,"Wanowrie,",Pediatrician,unavailable,912048556145.0,₹900,Pediatrician
Dr. Pandurang Sawant,"Dhanori,",Pediatrician,95%,917971262166.0,₹700,Pediatrician
Dr. Madhav Chavan,"Wakad,",Pediatrician,78%,912067325820.0,₹600,Pediatrician
Dr. Suhas Sodal,"Pimple Saudagar,",Pediatrician,94%,912048553738.0,₹800,Pediatrician
Dr. Nandkumar Banait,"Thergaon,",Pediatrician,91%,917971262076.0,₹650,Pediatrician
Dr. Shweta Hajare,"Chandan Nagar,",Pediatrician,100%,912071172550.0,₹600,Pediatrician
Dr. Avinash Itke,"Wakad,",Pediatrician,100%,912071173263.0,₹600,Pediatrician
Dr. Sameer Mhatre,"Viman Nagar,",Pediatrician,92%,917969141561.0,₹700,Pediatrician
Dr. Sujay Patil,"Shankar Shet Road,",Pediatrician,100%,912071171359.0,₹1000,Pediatrician
Dr. Atul Pralhad Palwe,"Lulla Nagar,",Pediatrician,unavailable,912071173266.0,₹650,Pediatrician
Dr. Ganesh Shivmurti Badge,"Hadapsar,",Pediatrician,100%,912071189378.0,₹605,Pediatrician
Dr. Abhijit Bagde,"Shankar Shet Road,",Pediatrician,100%,912071189378.0,₹1000,Pediatrician
Dr. Srujan Topale,"Kharadi,",Pediatrician,96%,918037314287.0,₹700,Pediatrician
Dr. Manoj Bansode,"Hadapsar,",Pediatrician,unavailable,912048566751.0,₹600,Pediatrician
Dr. Anupama Tapadia,"Hadapsar,",Pediatrician,92%,917971262008.0,₹400,Pediatrician
Dr. Hemant Prakash Palkar,"Pimpri-Chinchwad,",Pediatrician,100%,917971172646.0,₹1000,Pediatrician
Dr. Rohan Gundecha,"Kondhwa,",Pediatrician,75%,912071171707.0,₹500,Pediatrician
Dr. Anshu Sethi,"Baner,",Pediatrician,97%,917969200996.0,₹1000,Pediatrician
Dr. Vaishnavi Bhagat,"Wakad,",Pediatrician,100%,917969142020.0,₹400,Pediatrician
Dr. Surabhi Wattal Zutshi,"Rahatani,",Pediatrician,100%,912048552972.0,₹600,Pediatrician
Dr. Indrajeet Thorat,"Hadapsar,",Pediatrician,unavailable,912048553262.0,₹500,Pediatrician
Dr. Jagdish Kathwate,"Kharadi,",Pediatrician,89%,912048553249.0,₹800,Pediatrician
Dr. Deepak Jeswani,"Hadapsar,",Pediatrician,99%,912048553586.0,₹600,Pediatrician
Dr. Suryawanshi Pradip,"Nagar Road,",Pediatrician,100%,912071188518.0,₹600,Pediatrician
Dr. Hirdeshkumar Nagpal,"Kharadi,",Pediatrician,unavailable,912071187259.0,₹600,Pediatrician
Dr. Prashant Wagh,"Vishrantwadi,",Pediatrician,99%,917971262935.0,₹500,Pediatrician
Dr. Amrita Shirude,"Wakad,",Pediatrician,100%,912048553263.0,₹700,Pediatrician
Dr. Manish Ramteke,"Kalyani Nagar,",Pediatrician,100%,912071533870.0,₹1000,Pediatrician
Dr. Rakesh C Chincholikar Kulkarni,"Pimple Saudagar,",Pediatrician,100%,917969142021.0,₹1000,Pediatrician
Dr. Kshitija Daswadikar,"Hadapsar,",Pediatrician,unavailable,918037316895.0,₹605,Pediatrician
Dr. Geetanjali Ingale,"Kharadi,",Pediatrician,60%,918037316895.0,₹700,Pediatrician
Dr. Changdev Dhakne,"Kharadi,",Pediatrician,100%,918037316895.0,₹500,Pediatrician
Dr. Prateek Kataria,"Nagar Road,",Pediatrician,100%,912048553587.0,₹660,Pediatrician
Dr. Vidushi Taneja,"Kharadi,",Pediatrician,50%,912048552972.0,₹750,Pediatrician
Dr. Sandip Prabhakar Bandewar,"Kalyani Nagar,",Pediatrician,100%,917971115247.0,₹1000,Pediatrician
Dr. Bageshree Deokar,"Nigdi-Pradhikaran,",Pediatrician,43%,917971172444.0,₹850,Pediatrician
Dr. Sharvari Kulkarni,"Viman Nagar,",Pediatrician,100%,912071177423.0,₹650,Pediatrician
Dr. Rajesh Patidar,"Kharadi,",Pediatrician,unavailable,912048553261.0,₹600,Pediatrician
Dr. Smita Dsouza,"Pimple Saudagar,",Pediatrician,100%,918037314297.0,₹1000,Pediatrician
Dr. Amar Bhise,"Kharadi,",Pediatrician,50%,912071177437.0,₹500,Pediatrician
Dr. Dobhal Mahendra Gulabchand,"Pimple Saudagar,",Pediatrician,50%,917971115108.0,₹1000,Pediatrician
Dr. Ved Pratap,"Mohammadwadi,",Pediatrician,100%,917971115108.0,₹600,Pediatrician
Dr. Chandrashekhar Vasant Phadnis,"Aundh,",Pediatrician,95%,912048553255.0,₹500,Pediatrician
Dr. Priyanka Gundecha,"Wanowrie,",Pediatrician,unavailable,917969141926.0,₹400,Pediatrician
Dr. Kishori Bankhele,"Nigdi-Pradhikaran,",Pediatrician,100%,917969141926.0,₹300,Pediatrician
Dr. Amit Jayasingrao Nigade,"Senapati Bapat Marg,",Pediatrician,98%,912071189377.0,₹1000,Pediatrician
Dr. Pankaj B Borade,"Camp,",Psychiatrist,95%,912048553759.0,₹1750,Psychiatrist
Dr. Bhushan Chaudhari,"Pimpri-Chinchwad,",Psychiatrist,96%,912241642357.0,₹800,Psychiatrist
Dr. Rashmi Navelkar,"Pimple Saudagar,",Psychiatrist,98%,917969141871.0,₹900,Psychiatrist
Dr. Kishor Jadhavar,"Hadapsar,",Psychiatrist,98%,912071173186.0,₹1000,Psychiatrist
Dr. Hamza Hussain,"Undri,",Psychiatrist,94%,917969141882.0,₹1000,Psychiatrist
Dr. Bhushan Ambadkar,"Wadgaon Sheri,",Psychiatrist,100%,917969141827.0,₹800,Psychiatrist
Dr. Pratibha K Bezwada,"Hinjewadi,",Psychiatrist,99%,917969201165.0,₹1400,Psychiatrist
Dr. Samiksha Murkute,"Pimple Saudagar,",Psychiatrist,94%,917971172884.0,₹1000,Psychiatrist
Dr. Yogesh Pokale,"Bhosari,",Psychiatrist,98%,912048564456.0,₹500,Psychiatrist
Dr. Ananya Dhar,"Viman Nagar,",Psychiatrist,98%,912048564432.0,₹1200,Psychiatrist
Dr. Rishikesh Behere,"Baner,",Psychiatrist,94%,917969142012.0,₹2000,Psychiatrist
Dr. Rajesh Nalawade,"Nigdi-Pradhikaran,",Psychiatrist,98%,917969201083.0,₹1500,Psychiatrist
Dr. Dnyanda Nakul Deshpande,"Baner Road,",Psychiatrist,98%,917969141630.0,₹1200,Psychiatrist
Dr. Pranavjeet Kaldate,"Balewadi,",Psychiatrist,100%,917969141630.0,₹2000,Psychiatrist
Dr. Raval Nischol,"Nagar Road,",Psychiatrist,100%,918037312207.0,₹1320,Psychiatrist
Dr. Sayantani Mukherjee,"Kharadi,",Psychiatrist,90%,918037317099.0,₹1100,Psychiatrist
Dr. Rupali Shinde,"Deccan Gymkhana,",Psychiatrist,100%,912071187259.0,₹1200,Psychiatrist
Dr. Shriya Dalaya,"Katraj,",Psychiatrist,100%,917969141844.0,₹1000,Psychiatrist
Dr. Kishor Gujar,"Pimpri-Chinchwad,",Psychiatrist,100%,917971115284.0,₹1700,Psychiatrist
Dr. Sneha Arya,"Pimpri-Chinchwad,",Psychiatrist,88%,912048554748.0,₹1600,Psychiatrist
Dr. Ashok Bansode,"Hadapsar,",Pulmonologist,96%,917969201048.0,₹800,Pulmonologist
Dr. Rahul P. Kendre,"Kharadi,",Pulmonologist,100%,917969201461.0,₹800,Pulmonologist
Dr. Dnyandeep Sarpe,"Wakad,",Pulmonologist,50%,917941058734.0,₹800,Pulmonologist
Dr. Shubhada Kulkarni,"Pimple Saudagar,",Pulmonologist,86%,912048554718.0,₹700,Pulmonologist
Dr. Rahul Chavan,"Baner,",Pulmonologist,93%,917969201485.0,₹800,Pulmonologist
Dr. Mahavir Bagrecha,"Pimpri-Chinchwad,",Pulmonologist,98%,912241642385.0,₹700,Pulmonologist
Dr. Vaibhav D. Pandharkar,"Kharadi,",Pulmonologist,95%,917969201724.0,₹1000,Pulmonologist
Dr. Suyash Gandhe,"Viman Nagar,",Pulmonologist,100%,917969141716.0,₹800,Pulmonologist
Dr. Anup Bhoyar,"Kharadi,",Pulmonologist,97%,912048556580.0,₹800,Pulmonologist
Dr. Anand Vijay,"Pimpri-Chinchwad,",Pulmonologist,89%,917969142078.0,₹1000,Pulmonologist
Dr. Shashikant Bhange,"Hadapsar,",Urologist,74%,912048556097.0,₹850,Urologist
Dr. Sandesh Surana,"Dhankawadi,",Urologist,75%,912048556246.0,₹1500,Urologist
Dr. Vikram Satav,"Hadapsar,",Urologist,75%,912048556097.0,₹850,Urologist
Dr. Bhoopat Singh Bhati,"Wanowrie,",Urologist,97%,912048556145.0,₹1200,Urologist
Dr. Gopal Rathi,"Wanowrie,",Urologist,88%,912048556145.0,₹1200,Urologist
Dr. Sunil Palve,"Pimple Saudagar,",Urologist,67%,912048553738.0,₹1500,Urologist
Dr. Sumit M Chaudhari,"Bhosari,",Urologist,73%,917949108205.0,₹1000,Urologist
Dr. Sachin Patil,"Baner,",Urologist,96%,917971171485.0,₹1000,Urologist
Dr. Ketan Pai,"Deccan Gymkhana,",Urologist,89%,917971262942.0,₹845,Urologist
Dr. Ketan Vartak,"Shankar Shet Road,",Urologist,88%,917971262942.0,₹1000,Urologist
Dr. Ankit Sharma,"Kharadi,",Urologist,100%,917971262684.0,₹1200,Urologist
Dr. Nayan Odedra,"Pimpri-Chinchwad,",Urologist,100%,918037285150.0,₹1000,Urologist
Dr. Radhe Shyam Chaudhari,"Pimpri-Chinchwad,",Urologist,67%,912048553261.0,₹1000,Urologist
Dr. Parag Vijay Gulhane,"Hadapsar,",Urologist,88%,917971171874.0,₹600,Urologist
Dr. Nandkishor Raut,"Pimpri-Chinchwad,",Urologist,unavailable,912048553250.0,₹1000,Urologist
Dr. Himesh Gandhi,"Dhole Patil Road,",Urologist,95%,912048553250.0,₹1500,Urologist
Dr. Mhaskar Shrikant,"Nagar Road,",Urologist,unavailable,918037320377.0,₹845,Urologist
